gene_symbol,Atrn
gene_accession_id,MGI:1341628
parameter_id,MGP_PBI_032_001
analysis_id,tjd42s45be1g6u9
pvalue,0.6688814
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
