parameter_name,Neural tube morphology
pvalue,0.5764938
parameter_id,IMPC_GEL_060_001
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
analysis_id,17oj16klw11v1kl
mouse_life_stage,Early adult
mouse_strain,C57BL
