analysis_id,024li1k6akwu9em
mouse_strain,C57BL
gene_symbol,Gja10
pvalue,0.7488394
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1339969
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
