analysis_id,ka8216s1p773z70
gene_symbol,DDX27
parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
mouse_strain,C57BL
pvalue,0.3187795
parameter_id,JAXLA_CSD_021_001
