parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
analysis_id,672hr340250rjw0
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
pvalue,0.7462401
mouse_life_stage,Early adult
