parameter_name,RR
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
analysis_id,dbc4w3cbfim6q37
mouse_life_stage,Early adult
gene_symbol,LURAP1
pvalue,0.2905589
gene_accession_id,MGI:1915325
