parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
gene_symbol,Slc45a3
analysis_id,42y06u907h83994
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
pvalue,0.7214308
mouse_strain,C57BL
