parameter_name,lens
gene_accession_id,MGI:1914836
analysis_id,iz25r3492r44995
pvalue,0.5312849
parameter_id,M-G-P_014_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ubxn11
