parameter_name,Body weight
pvalue,0.6147008
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
analysis_id,p56gworm3q22599
mouse_life_stage,Early adult
gene_symbol,Tnni1
