gene_symbol,Nipal3
mouse_strain,129SV
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
mouse_life_stage,Early adult
analysis_id,dv4tq2znc4kw877
pvalue,0.2035059
gene_accession_id,MGI:1921802
