gene_symbol,Nanp
pvalue,0.1386259
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_id,HRWLLA_GRS_010_001
analysis_id,2p363dw6x3885kp
parameter_name,Forelimb grip strength normalised against body weight
