analysis_id,r6m567wpj03ubby
parameter_id,JAX_LDT_004_001
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
pvalue,0.4588507
gene_symbol,Ola1
parameter_name,Dark side time spent
mouse_strain,C57BL
