parameter_name,Coat colouration
gene_symbol,Cisd2
pvalue,0.898249
gene_accession_id,MGI:1914256
analysis_id,98w2tyw29fq1g70
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
