parameter_id,ESLIM_007_001_015
parameter_name,Number of centre entries
analysis_id,5w4c78v2ggnaabz
pvalue,0.8682518
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
mouse_strain,C57BL
gene_symbol,Bach2
