analysis_id,3dgz53hj48s60s0
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zfp683
parameter_id,IMPC_EYE_062_001
pvalue,0.493195
parameter_name,Right total retinal thickness
