parameter_name,Cornea
gene_symbol,Tubb4b
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,dmtr28x79684178
gene_accession_id,MGI:1915472
pvalue,0.5559222
