parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:2446274
pvalue,0.9256389
analysis_id,83p2n3h8ujp5jn7
mouse_life_stage,Late adult
gene_symbol,Frmpd1
mouse_strain,C57BL
