gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
analysis_id,qt14l0gd3511x2n
pvalue,0.8414943
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
