parameter_id,HRWLLA_OFD_007_001
mouse_life_stage,Early adult
pvalue,0.3104597
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_strain,C57BL
analysis_id,k441101al0c1176
parameter_name,Whole arena resting time
