parameter_name,Eosinophil percentage
mouse_life_stage,Early adult
mouse_strain,C55BL
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
analysis_id,0pu47vf5yclw8a2
parameter_id,MGP_PBI_020_001
pvalue,0.3483189
