parameter_id,JAXLA_CBC_015_001
analysis_id,1a39256k7952z2e
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Usp37
parameter_name,Total cholesterol
pvalue,0.1388878
