analysis_id,kl45y11450a2cw1
parameter_id,MGP_IMM_027_001
mouse_strain,C57BL
pvalue,0.9683113
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
