analysis_id,h8b5y00n69wxynz
mouse_strain,C57BL
gene_accession_id,MGI:1921688
parameter_name,Weight
pvalue,0.356885
gene_symbol,Clvs1
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
