gene_symbol,ZCCHC2
pvalue,0.565489
gene_accession_id,MGI:2444114
mouse_strain,C57BL
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
analysis_id,1j47i2856pnylfm
