gene_symbol,Gfi1b
analysis_id,o35av1xn3d9z7fm
mouse_strain,C57BL
parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
pvalue,0.4827581
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
