analysis_id,oq8v075c03xo0dm
gene_accession_id,MGI:99501
mouse_strain,C57BL
pvalue,0.4547526
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_033_001
parameter_name,Gait
gene_symbol,Fgb
