analysis_id,961gxy04ad9jeej
pvalue,0.1194895
mouse_strain,C57BL
gene_accession_id,MGI:1913506
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
gene_symbol,SSR2
mouse_life_stage,Early adult
