analysis_id,981kv26b6o1g8z9
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
gene_symbol,Nr0b2
mouse_strain,B6J
mouse_life_stage,Early adult
pvalue,0.6815565
gene_accession_id,MGI:1346344
