analysis_id,77i9rj35k79w821
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
parameter_name,Thyroxine
gene_symbol,Dnajc6
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
pvalue,0.9855608
