gene_symbol,Hpca
analysis_id,nq84nu9t04n1yt5
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
pvalue,0.9441472
parameter_name,Chloride
mouse_strain,C57BL
parameter_id,HMGULA_CBC_003_001
