analysis_id,10141g24y1i8fo1
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
pvalue,0.3079615
mouse_strain,C57BL
parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
