analysis_id,2e85swhci51opf5
pvalue,0.1436706
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
parameter_name,Naive CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_016_001
mouse_strain,C57BL
gene_symbol,Hspa5
