analysis_id,58j0v50g98zm34t
parameter_name,Hindlimbs - size
gene_symbol,Cds2
pvalue,0.08714858
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
mouse_strain,129SV
