gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.2882499
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
parameter_name,Total holepokes
analysis_id,31q7406kaw2e8a5
