gene_symbol,Dnajc5b
analysis_id,1sg45t605go4hje
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
pvalue,0.3180861
gene_accession_id,MGI:1913576
