pvalue,5.991731e-08
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
analysis_id,002w9b3xg8do125
