gene_symbol,Sfpq
analysis_id,tus20fcq653s054
mouse_strain,C57BL
parameter_name,Eosinophil cell count
pvalue,0.5103872
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
