parameter_id,IMPC_ECG_010_001
parameter_name,HRV
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.9498525
gene_accession_id,MGI:1917604
analysis_id,4gfty0u4f3n0a9y
