analysis_id,q7yyk631p75k2xr
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
pvalue,0.9912644
gene_symbol,Trdmt1
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
