gene_symbol,Kdm5b
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
analysis_id,t6qut803x28awq4
gene_accession_id,MGI:1922855
parameter_name,Startle Response
pvalue,0.5061229
