analysis_id,zt26h8f4vk8j47w
parameter_id,IMPC_IMM_047_001
pvalue,0.8200922
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1913576
gene_symbol,Dnajc5b
