analysis_id,hlz8411734vh02y
pvalue,0.331674
mouse_strain,C57BL
parameter_name,LVIDd
gene_symbol,Gpbp1l1
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
