analysis_id,c85u525vyo49cme
Gene_symbol,Eprs1
mouse_life_stage,E12.5
Gene_accession_id,MGI:97838
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
Pvalue,0.2187954
