parameter_name,MZB (CD21/35 high)
pvalue,0.2382281
parameter_id,IMPC_IMM_071_001
analysis_id,j9f660g27ff3t2l
mouse_life_stage,Late adult
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
