parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:88461
pvalue,0.2259011
parameter_name,Hemorrhage
analysis_id,33r9eq714z0m122
gene_symbol,Col6a3
mouse_life_stage,Early adult
mouse_strain,C57BL
