gene_symbol,Kdm5b
analysis_id,z24u3ib2p1pt8zd
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9929052
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
gene_accession_id,MGI:1922855
