analysis_id,pzjd8g1e7apodwh
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
pvalue,0.2787742
