analysis_id,wo6764488y88pn6
parameter_name,Startle response
mouse_strain,C57BL
pvalue,1.103305e-15
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
gene_symbol,Kdm5b
parameter_id,MGP_CSD_008_001
