gene_symbol,Stk35
parameter_name,Lens Opacity
gene_accession_id,MGI:1914583
analysis_id,dxr04dt60qz1zcv
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
pvalue,0.1153565
