analysis_id,i49sqo0b8yr6nnb
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
gene_symbol,Slc39a10
pvalue,0.5286709
gene_accession_id,MGI:1914515
parameter_name,Lean mass
