analysis_id,8326t0zn4h10c60
gene_accession_id,MGI:96757
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
gene_symbol,Lcn2
pvalue,0.5069076
parameter_name,Periphery average speed
mouse_life_stage,Early adult
