analysis_id,619ag51g433iip5
parameter_name,Cholesterol ratio
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
pvalue,0.5588232
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
