analysis_id,6nbfhc9z7yb2t97
parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:2444114
mouse_strain,C57BL
pvalue,0.5034416
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,Early adult
gene_symbol,Zcchc2
