analysis_id,519oge87p0i2y48
pvalue,0.2697727
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Eye
parameter_id,M-G-P_013_001_001
