parameter_name,HDL-cholesterol
mouse_strain,C57BL
analysis_id,y530dr949vxv4ev
parameter_id,ESLIM_021_001_005
gene_symbol,Slc39a10
pvalue,0.327644
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
