gene_symbol,Dcaf12
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
pvalue,0.5185566
parameter_name,Right total retinal thickness
analysis_id,5y7p68199lx049z
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
