analysis_id,l7buh0zli5k1ygq
gene_accession_id,MGI:2448481
pvalue,0.5383231
mouse_strain,C57BL
gene_symbol,Mgst2
parameter_id,IMPC_EYE_056_001
mouse_life_stage,Early adult
parameter_name,Mean left eye lens density
