analysis_id,347lrs7800he62d
parameter_name,Retinal Blood Vessels Pattern
mouse_strain,B6J
gene_symbol,Nr0b2
pvalue,0.8351604
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
