analysis_id,39h05z83b842485
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_name,Heart weight
pvalue,0.2714814
parameter_id,HMGULA_HWT_008_001
gene_symbol,Dnajc5b
