parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
gene_symbol,Kif24
mouse_strain,C57BL
pvalue,0.6847223
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
analysis_id,7gz45iw5o2aex90
