parameter_name,Chloride
gene_symbol,Zmynd8
analysis_id,j8g14g4pz1mk1zw
pvalue,0.8192521
mouse_strain,129SV
parameter_id,HMGULA_CBC_003_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
