analysis_id,x824550d2288l3v
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
gene_symbol,Dmap1
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1913483
pvalue,0.8568324
mouse_life_stage,Early adult
