parameter_name,Eosinophils
analysis_id,94gv9mfs49n0k27
pvalue,0.118793
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,IMPC_IMM_052_001
gene_symbol,Cds2
mouse_strain,C57BL
