analysis_id,go5ct25vq1983dm
gene_accession_id,MGI:95457
parameter_id,JAX_OFD_021_001
gene_symbol,Mecom
pvalue,0.479172
parameter_name,Number of rears - total
mouse_strain,C57BL
mouse_life_stage,E15.5
